strain_name,sample_count,Percentage
AY.70,1060,0.025423102788962343
AY.122.3,1056,0.025327166552022863
B.1.177.6,1043,0.025015373781969552
B.1.93,1035,0.02482350130809059
B.1.110.3,1031,0.024727565071151106
A,1023,0.024535692597272146
AY.5.4,1021,0.02448772447880241
B.1.609,1017,0.02439178824186293
AY.4.7,1003,0.024056011412574747
B.1.426,1002,0.024032027353339876
AY.32,993,0.023816170820226044
AY.87,990,0.023744218642521436
B.1.241,968,0.02321656933935429
AY.52,958,0.02297672874700559
B.1.1.316,956,0.02292876062853585
B.1.577,951,0.0228088403323615
AY.51,935,0.022425095384603577
B.1.177.18,932,0.02235314320689897
Q.4,905,0.021705573607557472
B.1.320,897,0.021513701133678512
AY.38,887,0.02127386054132981
