Pangolin,Count,Percentage
JN.1.31,319,0.0035689260877644793
B.1.471,318,0.0035577382316899827
JD.1.1.7,318,0.0035577382316899827
GE.1.5,318,0.0035577382316899827
P.1.1,317,0.003546550375615486
BA.2.3.6,317,0.003546550375615486
LW.1,317,0.003546550375615486
BA.5.2.53,317,0.003546550375615486
XBB.1.17.1,316,0.0035353625195409894
XBB.1.5.100,316,0.0035353625195409894
BT.2,315,0.0035241746634664924
BM.4.1.1,314,0.0035129868073919958
GJ.1.2.2,313,0.0035017989513174983
HV.1.6,313,0.0035017989513174983
B.1.177.82,312,0.0034906110952430017
BQ.1.1.47,312,0.0034906110952430017
XBB.1.5.91,311,0.003479423239168505
GK.3.1,310,0.0034682353830940084
FL.13,310,0.0034682353830940084
BF.7.1,309,0.0034570475270195118
BE.12,308,0.0034458596709450147
B.1.1.189,308,0.0034458596709450147
HY.1,308,0.0034458596709450147
XAY.2,307,0.003434671814870518
BQ.1.4,306,0.003423483958796021
XBB.1.5.110,306,0.003423483958796021
BA.4.1.9,304,0.0034011082466470274
BQ.1.21,303,0.0033899203905725307
BQ.1.1.65,303,0.0033899203905725307
BB.2,303,0.0033899203905725307
MC.2,303,0.0033899203905725307
B.1.36.35,303,0.0033899203905725307
BF.41,303,0.0033899203905725307
BA.5.2.59,303,0.0033899203905725307
B.1.403,302,0.003378732534498034
B.1.177.23,302,0.003378732534498034
BF.11.4,301,0.0033675446784235375
EG.2,301,0.0033675446784235375
AY.99,300,0.0033563568223490404
EG.5.1.15,299,0.0033451689662745434
B.1.289,299,0.0033451689662745434
B.1.1.420,299,0.0033451689662745434
B.1.610,298,0.0033339811102000468
JN.1.5,298,0.0033339811102000468
B.1.258.4,298,0.0033339811102000468
B.1.36.9,297,0.0033227932541255497
XAS,297,0.0033227932541255497
B.1.177.26,297,0.0033227932541255497
BE.4.2,297,0.0033227932541255497
BF.29,297,0.0033227932541255497
BA.5.2.47,297,0.0033227932541255497
AY.4.13,297,0.0033227932541255497
BQ.1.1.29,296,0.003311605398051053
AY.3.4,296,0.003311605398051053
HK.30,296,0.003311605398051053
BF.7.14,294,0.00328922968590206
JN.1.4.7,294,0.00328922968590206
HZ.2,294,0.00328922968590206
BQ.1.1.76,294,0.00328922968590206
HV.1.4,293,0.003278041829827563
BQ.1.1.43,293,0.003278041829827563
KP.3.1.6,292,0.0032668539737530657
EA.1,292,0.0032668539737530657
B.23,292,0.0032668539737530657
BA.5.2.29,291,0.003255666117678569
BA.2.44,291,0.003255666117678569
BQ.1.1.42,290,0.003244478261604072
LB.1.2,290,0.003244478261604072
BE.1.4.2,289,0.0032332904055295754
B.1.1.232,289,0.0032332904055295754
B.1.384,289,0.0032332904055295754
CH.1.1.13,289,0.0032332904055295754
MC.1,289,0.0032332904055295754
BA.2.54,288,0.003222102549455079
B.1.351.2,288,0.003222102549455079
B.1.576,288,0.003222102549455079
CK.1.5,287,0.003210914693380582
JD.1.1.8,287,0.003210914693380582
LA.1,285,0.003188538981231588
B.1.3,285,0.003188538981231588
B.1.22,285,0.003188538981231588
KT.1,284,0.0031773511251570914
BQ.1.1.27,282,0.0031549754130080977
BN.1.2.3,281,0.003143787556933601
XBB.1.5.104,281,0.003143787556933601
BQ.1.1.72,281,0.003143787556933601
JN.1.47,281,0.003143787556933601
MK.1,280,0.0031325997008591045
BA.2.53,279,0.003121411844784608
BQ.1.1.11,279,0.003121411844784608
XBE,278,0.0031102239887101104
B.1.558,278,0.0031102239887101104
XBB.1.5.56,277,0.0030990361326356138
BF.15,277,0.0030990361326356138
HN.5,277,0.0030990361326356138
BF.7.27,276,0.003087848276561117
XDK,276,0.003087848276561117
BE.4.1,276,0.003087848276561117
BF.7.4.2,275,0.0030766604204866205
B.1.1.153,275,0.0030766604204866205
EK.2,275,0.0030766604204866205
B.1.201,275,0.0030766604204866205
XBB.2.3.8,274,0.0030654725644121235
BA.5.2.36,274,0.0030654725644121235
FS.1,274,0.0030654725644121235
CH.1.1.15,273,0.003054284708337627
B.1.1.217,272,0.0030430968522631298
B.1.453,272,0.0030430968522631298
BA.2.29,271,0.003031908996188633
XCR,271,0.003031908996188633
JN.3.3,270,0.0030207211401141365
HK.13,270,0.0030207211401141365
KT.1.2,269,0.0030095332840396395
AY.122.6,268,0.002998345427965143
KE.3,268,0.002998345427965143
B.1.177.75,268,0.002998345427965143
FL.18,268,0.002998345427965143
B.1.1.284,267,0.002987157571890646
FL.1,267,0.002987157571890646
P.1.6,267,0.002987157571890646
BQ.1.1.58,266,0.0029759697158161487
XBB.1.16.16,266,0.0029759697158161487
B.31,266,0.0029759697158161487
FL.20.1,265,0.002964781859741652
JN.1.64,264,0.0029535940036671555
BM.1.1,264,0.0029535940036671555
AV.1,264,0.0029535940036671555
Z.1,264,0.0029535940036671555
XBK.1,263,0.002942406147592659
B.1.625,263,0.002942406147592659
KP.3.3.4,263,0.002942406147592659
XBB.1.16.18,263,0.002942406147592659
KP.3.3.1,263,0.002942406147592659
BA.2.3.9,262,0.002931218291518162
C.36,262,0.002931218291518162
B.6,262,0.002931218291518162
EC.1,260,0.0029088425793691686
GN.1,260,0.0029088425793691686
B.1.177.52,259,0.0028976547232946715
B.1.1.294,259,0.0028976547232946715
B.1.433,258,0.0028864668672201744
B.1.416,257,0.002875279011145678
BE.10,257,0.002875279011145678
B.1.425,257,0.002875279011145678
CH.1.1.24,256,0.002864091155071181
BA.2.71,255,0.002852903298996684
DV.7,255,0.002852903298996684
B.1.223,255,0.002852903298996684
BA.1.9,255,0.002852903298996684
FL.2.1,255,0.002852903298996684
XCH,254,0.0028417154429221875
GE.1.3,254,0.0028417154429221875
BF.7.5.1,253,0.002830527586847691
B.1.1.83,253,0.002830527586847691
C.36.3.1,252,0.002819339730773194
BA.5.2.12,252,0.002819339730773194
BA.2.25,251,0.002808151874698697
B.1.315,251,0.002808151874698697
HK.3.4,250,0.0027969640186242
FL.12,250,0.0027969640186242
HK.27.1,248,0.0027745883064752065
B.1.1.220,247,0.00276340045040071
AY.27,247,0.00276340045040071
B.28,247,0.00276340045040071
GV.1,247,0.00276340045040071
BA.5.2.4,246,0.0027522125943262132
AY.61,246,0.0027522125943262132
XBC.1.2.1,244,0.0027298368821772195
DY.4,244,0.0027298368821772195
XDV.1,244,0.0027298368821772195
BA.5.1.26,243,0.0027186490261027225
XBB.3,243,0.0027186490261027225
B.1.1.186,243,0.0027186490261027225
B.1.1.219,242,0.002707461170028226
BA.5.1.19,242,0.002707461170028226
JN.1.8.3,242,0.002707461170028226
JN.1.52,242,0.002707461170028226
MC.35,242,0.002707461170028226
ER.1,241,0.002696273313953729
BF.31,241,0.002696273313953729
CH.1.1.28,241,0.002696273313953729
JR.1.1,241,0.002696273313953729
HH.1,241,0.002696273313953729
EE.5,240,0.002685085457879232
EU.1.1.1,240,0.002685085457879232
XBB.1.16.14,240,0.002685085457879232
CL.1.1,240,0.002685085457879232
B.1.1.171,239,0.0026738976018047356
DV.1,239,0.0026738976018047356
P.1.16,239,0.0026738976018047356
CH.1.1.8,238,0.0026627097457302385
CE.1,238,0.0026627097457302385
DY.2,238,0.0026627097457302385
B.1.1.240,238,0.0026627097457302385
N.5,237,0.002651521889655742
BA.5.2.52,237,0.002651521889655742
BF.1.1,237,0.002651521889655742
XBB.1.16.8,236,0.0026403340335812452
B.1.1.67,236,0.0026403340335812452
HK.11,236,0.0026403340335812452
FY.1.2,236,0.0026403340335812452
CA.3.1,235,0.002629146177506748
DV.7.1.5,234,0.002617958321432251
B.1.523,234,0.002617958321432251
AY.56,234,0.002617958321432251
B.1.1.304,234,0.002617958321432251
FL.25,234,0.002617958321432251
DV.7.1.2,233,0.0026067704653577545
B.1.413,233,0.0026067704653577545
FM.2,233,0.0026067704653577545
CH.1.1.9,232,0.002595582609283258
XBB.1.5.107,232,0.002595582609283258
B.1.337,232,0.002595582609283258
AY.5.5,232,0.002595582609283258
HN.6,231,0.002584394753208761
BQ.1.2.1,231,0.002584394753208761
A.2.2,230,0.002573206897134264
LF.1,230,0.002573206897134264
B.1.356,230,0.002573206897134264
B.1.177.77,230,0.002573206897134264
MU.2,230,0.002573206897134264
KP.2.16,230,0.002573206897134264
B.1.1.227,229,0.0025620190410597676
B.1.160.33,228,0.002550831184985271
B.1.160.23,228,0.002550831184985271
B.1.1.241,228,0.002550831184985271
B.1.1.265,228,0.002550831184985271
XBB.1.5.78,228,0.002550831184985271
BA.5.2.56,228,0.002550831184985271
B.1.1.74,227,0.002539643328910774
B.29,227,0.002539643328910774
B.1.104,227,0.002539643328910774
HT.2,226,0.002528455472836277
B.1.177.60,225,0.0025172676167617802
BA.2.9.6,225,0.0025172676167617802
KW.1.1,225,0.0025172676167617802
JN.1.9.1,223,0.0024948919046127865
DV.7.1.4,223,0.0024948919046127865
BQ.1.1.56,223,0.0024948919046127865
EN.1,223,0.0024948919046127865
XBB.1.5.55,223,0.0024948919046127865
BQ.1.1.36,222,0.00248370404853829
B.1.8,222,0.00248370404853829
A.3,222,0.00248370404853829
B.1.516,222,0.00248370404853829
FE.1.1,222,0.00248370404853829
B.1.518,222,0.00248370404853829
AY.99.1,222,0.00248370404853829
FK.1.1,221,0.0024725161924637933
JN.1.7.1,221,0.0024725161924637933
B.1.1.135,221,0.0024725161924637933
FL.2.5,221,0.0024725161924637933
EG.5.1.9,221,0.0024725161924637933
HW.1.1,221,0.0024725161924637933
XBT,220,0.0024613283363892962
DV.2,220,0.0024613283363892962
XBB.1.5.50,219,0.002450140480314799
DV.7.1,219,0.002450140480314799
B.1.298,219,0.002450140480314799
CV.1,218,0.0024389526242403026
XBB.6.1,218,0.0024389526242403026
MC.9,218,0.0024389526242403026
B.1.401,218,0.0024389526242403026
BA.2.3.5,218,0.0024389526242403026
FL.3.4,217,0.002427764768165806
B.1.1.8,217,0.002427764768165806
KP.2.14,216,0.002416576912091309
A.2,216,0.002416576912091309
BA.5.2.14,216,0.002416576912091309
LB.1.2.1,216,0.002416576912091309
B.1.1.362,215,0.0024053890560168122
XBB.2.3.1,214,0.0023942011999423156
KP.3.3.2,214,0.0023942011999423156
BW.1,214,0.0023942011999423156
BQ.1.16,214,0.0023942011999423156
XBB.1.1,213,0.0023830133438678186
CG.1,213,0.0023830133438678186
CB.1,213,0.0023830133438678186
B.45,212,0.002371825487793322
CK.3,212,0.002371825487793322
BN.1.9,212,0.002371825487793322
B.1.336,212,0.002371825487793322
FH.1,212,0.002371825487793322
AY.46.3,211,0.002360637631718825
B.1.177.2,211,0.002360637631718825
FW.1.1.1,211,0.002360637631718825
BA.2.74,211,0.002360637631718825
BN.1.4.3,211,0.002360637631718825
FY.2,211,0.002360637631718825
XBB.2.3.19,211,0.002360637631718825
B.1.36.31,210,0.0023494497756443283
B.1.363,210,0.0023494497756443283
EL.1,210,0.0023494497756443283
FL.10.1,210,0.0023494497756443283
FL.1.5,209,0.002338261919569831
BA.5.2.44,209,0.002338261919569831
B.1.1.385,208,0.0023270740634953346
EG.13,208,0.0023270740634953346
XBB.2.5,207,0.002315886207420838
JN.1.32.1,207,0.002315886207420838
BA.2.3.11,206,0.002304698351346341
B.1.1.231,206,0.002304698351346341
B.1.1.337,206,0.002304698351346341
JC.5.1,206,0.002304698351346341
JN.1.65,206,0.002304698351346341
BW.1.1.1,205,0.0022935104952718443
B.1.1.297,205,0.0022935104952718443
DR.1,205,0.0022935104952718443
LY.1,204,0.0022823226391973477
FY.5.5,204,0.0022823226391973477
B.1.620,204,0.0022823226391973477
BA.2.45,204,0.0022823226391973477
BU.3,204,0.0022823226391973477
CH.1.1.14,204,0.0022823226391973477
BQ.1.1.66,204,0.0022823226391973477
MC.28,204,0.0022823226391973477
B.1.160.32,203,0.0022711347831228506
BA.2.55,203,0.0022711347831228506
B.1.36.2,203,0.0022711347831228506
BN.1.4.2,203,0.0022711347831228506
B.1.634,202,0.0022599469270483535
HT.1,202,0.0022599469270483535
W.3,201,0.002248759070973857
AY.43.1,201,0.002248759070973857
XBB.1.16.3,201,0.002248759070973857
XDN,200,0.0022375712148993603
B.1.1.368,199,0.0022263833588248632
JN.1.4.3,199,0.0022263833588248632
XBB.1.5.8,199,0.0022263833588248632
CA.1,199,0.0022263833588248632
GK.1,199,0.0022263833588248632
B.1.36.29,198,0.0022151955027503666
ET.1,198,0.0022151955027503666
FL.20,198,0.0022151955027503666
L.3,198,0.0022151955027503666
XBB.1.22,198,0.0022151955027503666
JQ.1,198,0.0022151955027503666
B.1.160.29,198,0.0022151955027503666
B.1.366,197,0.00220400764667587
KP.2.3.3,197,0.00220400764667587
XR,195,0.0021816319345268763
CQ.1,195,0.0021816319345268763
BF.7.2,195,0.0021816319345268763
AY.17,194,0.0021704440784523792
B.1.110,194,0.0021704440784523792
GS.3,194,0.0021704440784523792
BA.2.3.10,193,0.0021592562223778826
BE.1.4.1,192,0.0021480683663033856
KP.2.19,192,0.0021480683663033856
AY.122.1,192,0.0021480683663033856
B.1.1.26,192,0.0021480683663033856
XBB.2.3.15,192,0.0021480683663033856
B.1.206,191,0.002136880510228889
XDK.1,191,0.002136880510228889
XBB.1.5.79,191,0.002136880510228889
LB.1.3.1,191,0.002136880510228889
CK.2,190,0.0021256926541543923
B.1.160.15,190,0.0021256926541543923
B.55,190,0.0021256926541543923
XBB.1.42.1,190,0.0021256926541543923
JN.1.7.4,188,0.0021033169420053986
BA.2.46,188,0.0021033169420053986
FZ.1.1,187,0.0020921290859309016
HV.1.8,186,0.002080941229856405
DL.1,186,0.002080941229856405
FL.20.2,186,0.002080941229856405
